Vending Machine ( TID ),Vending Machine (Serial No.),District,Company Name,"Location ( Floor, Gate No. etc)",Snack/Coffee,Machine Manufacturer
2376811600165709,90406139,Jubail,Saudi Kayan,SAM Building,Snack,Laventa 
2302374271250993,90406005,Jubail,Saudi Kayan,LMB1 Building,Snack,Laventa 
2302312171251284,90406279,Jubail,Saudi Kayan,SMD Building,Snack,Laventa 
2302311671251279,90400001,Jubail,Sabic Petrokemya SOUTH,Visitor,Snack,Laventa 
2302312371251286,90407150,Jubail,Sabic Petrokemya NORTH,Admin Building 1st Floor,Snack,Laventa 
2302311971251282,90406983,Jubail,Sabic Petrokemya NORTH,Laboratory,Snack,Laventa 
2302312271251285,90406266,Jubail,Sabic Petrokemya NORTH,CMD.MSD-2,Snack,Laventa 
2376808800165681,90407059,Jubail,Sabic Petrokemya NORTH,MTBE Control Room,Snack,Laventa 
2302385371251212,90407267,Jubail,Sabic Petrokemya NORTH,OP3 Building,Snack,Laventa 
2302374671250997,90407785,Jubail,Sabic Petrokemya SOUTH,Utility Building,Snack,Laventa 
2302374371250994,90406995,Jubail,Sabic Petrokemya SOUTH,OP1 Building,Snack,Laventa 
2302311771251280,90406980,Jubail,Sabic Petrokemya SOUTH,ABS Control Building,Snack,Laventa 
2302302271251076,90407702,Jubail,Sabic Petrokemya SOUTH,Admin Building,Snack,Laventa 
2376810100165694,90407930,RAS AL-KHAIR,Maaden company ,(Cast house reception),Snack,Laventa 
2376810400165697,90407608,RAS AL-KHAIR,Maaden company ,(Carbon Admin 5011 ),Snack,Laventa 
2302389671251310,90407339,Khobar, SIPCHEM HQ,(Cafeteria),Snack,Laventa 
2376809700165690,90406002,RAS AL-KHAIR,Maaden company ,( Adminstration - reception ),Snack,Laventa 
2302373371250984,90412689,Dammam, East Pipe Company ,(Reception),Snack,Laventa 
2302312771251290,90406691,Jubail,Saudi Kayan,EHSS Building,Snack,Laventa 
2302312971251292,90406699,Jubail,Saudi Kayan,Admin Building,Snack,Laventa 
2302302471251078,90406010,RAS AL-KHAIR,Maaden company ,Maintenance buiding,Snack,Laventa 
2302313471251297,90406998,Jubail,Saudi Kayan,Q.A Lab,Snack,Laventa 
2302312471251287,90406706,Jubail,Saudi Kayan,EO/EG,Snack,Laventa 
2302312671251289,90412557,Jubail,Sabic Petrokemya NORTH ,EHSS Building,Snack,Laventa 
2302389471251308,90406846,Jubail,Sabic Petrokemya NORTH ,OP4 Building,Snack,Laventa 
2302313571251298,90406717,Jubail,Saudi Kayan,Utility Building,Snack,Laventa 
2302385571251214,90406572,Dammam,F M C Company Technology,Canteen area ,Snack,Laventa 
2302300771251061,90407311,Jubail,Saudi Kayan,Cafeteria,Snack,Laventa 
2302313371251296,90407968,dhahran,Dhahran Techno valley,First floor -fat area,Snack,Laventa 
2302389871251312,90406700,Dammam,DHL,Reception,Snack,Laventa 
2302312571251288,90407632,Dammam,Mouwasat Hospital,Eyes Section ,Snack,Laventa 
2302374171250992,90407157,Dammam,Electrical Company,Phasel Ground Floor Main Lobby,Snack,Laventa 
2302389571251309,90400426,Dammam,Electrical Company,Phase2 Ground Floor Main Lobby,Snack,Laventa 
2302311171251274,90412781,Alnaerea, Mouwasat Hospital Emergency ,Emergency ,Snack,Laventa 
